iter	Passed	Remaining
0	168	168085
1	200	100084
2	222	74025
3	256	63870
4	292	58110
5	325	54003
6	358	50907
7	424	52689
8	471	51882
9	508	50304
10	543	48877
11	575	47372
12	606	46052
13	638	44944
14	670	44024
15	701	43160
16	735	42534
17	771	42097
18	815	42095
19	850	41663
20	868	40495
21	914	40659
22	959	40774
23	1005	40896
24	1042	40665
25	1080	40494
26	1117	40254
27	1137	39471
28	1171	39241
29	1211	39187
30	1250	39099
31	1289	39021
32	1329	38961
33	1369	38909
34	1383	38133
35	1419	38007
36	1455	37892
37	1491	37767
38	1533	37796
39	1567	37626
40	1601	37465
41	1634	37292
42	1677	37339
43	1714	37244
44	1742	36969
45	1778	36885
46	1813	36767
47	1850	36694
48	1884	36571
49	1908	36252
50	1938	36073
51	1974	35988
52	2008	35886
53	2050	35917
54	2084	35818
55	2121	35759
56	2157	35697
57	2193	35618
58	2227	35530
59	2260	35420
60	2295	35340
61	2329	35247
62	2370	35251
63	2406	35193
64	2443	35142
65	2482	35130
66	2518	35076
67	2556	35033
68	2589	34936
69	2621	34834
70	2644	34598
71	2684	34594
72	2723	34586
73	2755	34474
74	2792	34440
75	2805	34108
76	2838	34023
77	2867	33897
78	2896	33762
79	2923	33622
80	2944	33401
81	2972	33273
82	2999	33143
83	3028	33025
84	3057	32916
85	3085	32787
86	3114	32679
87	3142	32565
88	3170	32450
89	3200	32358
90	3228	32245
91	3256	32138
92	3288	32069
93	3315	31951
94	3344	31857
95	3373	31764
96	3402	31670
97	3412	31406
98	3431	31229
99	3461	31150
100	3489	31056
101	3518	30973
102	3546	30888
103	3552	30607
104	3563	30370
105	3581	30209
106	3608	30113
107	3636	30036
108	3647	29816
109	3675	29738
110	3703	29662
111	3732	29593
112	3747	29419
113	3775	29341
114	3803	29274
115	3833	29213
116	3862	29147
117	3867	28909
118	3896	28847
119	3925	28783
120	3954	28723
121	3964	28533
122	3992	28470
123	4022	28417
124	4051	28358
125	4080	28302
126	4110	28258
127	4140	28207
128	4168	28148
129	4183	27997
130	4211	27937
131	4239	27880
132	4255	27739
133	4266	27571
134	4293	27508
135	4323	27466
136	4329	27271
137	4335	27078
138	4363	27030
139	4391	26979
140	4420	26928
141	4449	26886
142	4465	26763
143	4502	26764
144	4532	26727
145	4561	26679
146	4590	26634
147	4618	26589
148	4647	26540
149	4653	26369
150	4682	26327
151	4710	26280
152	4740	26241
153	4768	26195
154	4799	26165
155	4830	26134
156	4857	26080
157	4887	26045
158	4898	25907
159	4909	25772
160	4937	25730
161	4968	25698
162	4998	25667
163	5027	25627
164	5055	25583
165	5089	25569
166	5117	25526
167	5146	25486
168	5173	25441
169	5183	25309
170	5212	25271
171	5241	25232
172	5269	25188
173	5297	25146
174	5327	25115
175	5343	25016
176	5357	24910
177	5385	24872
178	5417	24848
179	5446	24810
180	5474	24773
181	5506	24750
182	5540	24734
183	5550	24613
184	5578	24577
185	5607	24541
186	5636	24506
187	5666	24473
188	5695	24439
189	5724	24406
190	5754	24374
191	5786	24350
192	5814	24314
193	5844	24282
194	5874	24250
195	5904	24218
196	5934	24188
197	5965	24165
198	5995	24133
199	6027	24108
200	6056	24074
201	6087	24048
202	6117	24018
203	6146	23983
204	6176	23950
205	6204	23913
206	6232	23877
207	6259	23834
208	6289	23803
209	6318	23768
210	6347	23736
211	6376	23702
212	6407	23673
213	6437	23644
214	6466	23610
215	6495	23576
216	6524	23541
217	6552	23505
218	6582	23475
219	6612	23443
220	6639	23404
221	6667	23367
222	6696	23332
223	6725	23299
224	6752	23257
225	6780	23221
226	6808	23184
227	6836	23148
228	6866	23117
229	6895	23085
230	6925	23055
231	6953	23018
232	6982	22984
233	7010	22949
234	7041	22923
235	7071	22892
236	7100	22860
237	7131	22831
238	7159	22796
239	7188	22764
240	7217	22730
241	7248	22705
242	7277	22672
243	7306	22637
244	7335	22604
245	7366	22577
246	7394	22542
247	7423	22511
248	7453	22478
249	7477	22431
250	7508	22404
251	7539	22377
252	7568	22346
253	7597	22312
254	7626	22280
255	7646	22223
256	7673	22183
257	7701	22149
258	7730	22117
259	7759	22085
260	7779	22026
261	7808	21996
262	7838	21966
263	7870	21942
264	7898	21907
265	7929	21881
266	7960	21853
267	7991	21827
268	8025	21808
269	8056	21783
270	8083	21745
271	8115	21719
272	8145	21690
273	8173	21656
274	8202	21623
275	8230	21590
276	8259	21557
277	8289	21529
278	8317	21493
279	8345	21460
280	8375	21430
281	8405	21402
282	8437	21376
283	8467	21346
284	8495	21314
285	8524	21282
286	8555	21255
287	8585	21224
288	8614	21193
289	8644	21162
290	8673	21131
291	8702	21099
292	8732	21070
293	8761	21040
294	8790	21007
295	8818	20974
296	8847	20943
297	8878	20915
298	8904	20875
299	8933	20844
300	8962	20813
301	8992	20784
302	9021	20753
303	9050	20720
304	9079	20690
305	9108	20658
306	9139	20629
307	9169	20601
308	9188	20548
309	9218	20518
310	9247	20486
311	9276	20455
312	9304	20422
313	9332	20387
314	9363	20361
315	9393	20333
316	9423	20303
317	9453	20273
318	9481	20240
319	9510	20209
320	9539	20179
321	9570	20150
322	9598	20117
323	9627	20087
324	9657	20057
325	9688	20030
326	9715	19996
327	9739	19953
328	9768	19922
329	9798	19893
330	9830	19868
331	9858	19835
332	9886	19802
333	9915	19770
334	9934	19721
335	9963	19690
336	9994	19663
337	10024	19634
338	10054	19604
339	10073	19554
340	10102	19523
341	10132	19495
342	10162	19466
343	10194	19440
344	10224	19412
345	10258	19390
346	10288	19362
347	10318	19331
348	10347	19301
349	10375	19269
350	10403	19235
351	10433	19207
352	10462	19176
353	10490	19142
354	10508	19092
355	10536	19061
356	10562	19025
357	10595	18999
358	10617	18956
359	10646	18927
360	10676	18898
361	10700	18859
362	10729	18828
363	10759	18799
364	10790	18772
365	10819	18741
366	10847	18710
367	10877	18680
368	10906	18649
369	10934	18617
370	10961	18585
371	10988	18550
372	11017	18519
373	11045	18488
374	11075	18459
375	11104	18428
376	11133	18398
377	11162	18368
378	11188	18331
379	11218	18304
380	11248	18274
381	11265	18225
382	11287	18183
383	11315	18151
384	11344	18121
385	11372	18089
386	11402	18060
387	11432	18032
388	11463	18005
389	11492	17975
390	11521	17945
391	11546	17908
392	11575	17878
393	11604	17847
394	11635	17821
395	11665	17793
396	11694	17762
397	11724	17734
398	11754	17704
399	11783	17675
400	11812	17644
401	11840	17613
402	11870	17585
403	11898	17553
404	11927	17523
405	11956	17492
406	11987	17465
407	12016	17436
408	12045	17405
409	12076	17378
410	12105	17348
411	12134	17317
412	12163	17288
413	12192	17257
414	12222	17229
415	12251	17199
416	12281	17169
417	12309	17139
418	12339	17110
419	12368	17080
420	12399	17053
421	12429	17023
422	12458	16994
423	12486	16962
424	12514	16931
425	12544	16902
426	12573	16872
427	12600	16839
428	12630	16810
429	12661	16784
430	12690	16753
431	12719	16723
432	12748	16694
433	12777	16664
434	12806	16633
435	12834	16602
436	12864	16573
437	12889	16538
438	12921	16511
439	12952	16484
440	12982	16456
441	13011	16425
442	13042	16398
443	13073	16370
444	13102	16340
445	13131	16311
446	13162	16283
447	13192	16255
448	13226	16230
449	13255	16201
450	13286	16173
451	13317	16145
452	13347	16116
453	13378	16089
454	13408	16060
455	13436	16029
456	13465	15999
457	13496	15971
458	13526	15943
459	13556	15914
460	13585	15883
461	13614	15853
462	13642	15823
463	13674	15796
464	13706	15769
465	13736	15740
466	13767	15712
467	13795	15682
468	13824	15651
469	13852	15621
470	13881	15590
471	13910	15561
472	13939	15531
473	13969	15501
474	13998	15471
475	14025	15439
476	14055	15410
477	14084	15381
478	14115	15353
479	14143	15322
480	14173	15292
481	14203	15264
482	14234	15236
483	14262	15205
484	14292	15176
485	14321	15146
486	14350	15117
487	14378	15085
488	14406	15055
489	14437	15026
490	14481	15012
491	14517	14990
492	14549	14962
493	14580	14934
494	14620	14915
495	14651	14888
496	14682	14860
497	14714	14833
498	14746	14805
499	14777	14777
500	14816	14757
501	14847	14729
502	14884	14706
503	14927	14690
504	14968	14672
505	15009	14653
506	15050	14634
507	15086	14610
508	15120	14585
509	15152	14558
510	15188	14534
511	15225	14512
512	15259	14486
513	15293	14460
514	15325	14433
515	15357	14404
516	15392	14380
517	15425	14353
518	15458	14327
519	15494	14302
520	15527	14276
521	15561	14250
522	15594	14222
523	15626	14194
524	15659	14167
525	15694	14142
526	15731	14119
527	15766	14094
528	15801	14068
529	15834	14041
530	15868	14016
531	15905	13991
532	15951	13975
533	15987	13951
534	16020	13924
535	16055	13898
536	16092	13875
537	16129	13850
538	16164	13825
539	16205	13804
540	16241	13779
541	16278	13755
542	16311	13727
543	16344	13700
544	16381	13676
545	16415	13649
546	16453	13626
547	16489	13600
548	16524	13574
549	16558	13547
550	16597	13524
551	16637	13503
552	16677	13480
553	16714	13455
554	16749	13429
555	16782	13402
556	16820	13378
557	16859	13354
558	16898	13331
559	16935	13306
560	16969	13279
561	17005	13253
562	17037	13224
563	17070	13196
564	17102	13167
565	17134	13138
566	17165	13108
567	17196	13079
568	17227	13049
569	17262	13022
570	17299	12997
571	17337	12973
572	17376	12948
573	17413	12923
574	17457	12903
575	17497	12880
576	17535	12855
577	17573	12830
578	17612	12806
579	17653	12783
580	17703	12767
581	17741	12742
582	17776	12714
583	17810	12686
584	17844	12658
585	17878	12630
586	17913	12603
587	17947	12575
588	17983	12548
589	18018	12521
590	18053	12494
591	18089	12466
592	18122	12437
593	18156	12409
594	18193	12383
595	18229	12356
596	18264	12329
597	18299	12301
598	18327	12269
599	18357	12238
600	18387	12207
601	18417	12176
602	18446	12144
603	18475	12113
604	18507	12083
605	18537	12052
606	18567	12021
607	18596	11990
608	18623	11956
609	18652	11925
610	18680	11893
611	18710	11862
612	18740	11831
613	18769	11799
614	18799	11768
615	18829	11737
616	18859	11706
617	18887	11674
618	18916	11643
619	18944	11611
620	18974	11580
621	19002	11548
622	19032	11517
623	19063	11486
624	19093	11455
625	19122	11424
626	19151	11393
627	19181	11362
628	19211	11331
629	19241	11300
630	19270	11269
631	19298	11237
632	19327	11205
633	19362	11177
634	19389	11144
635	19418	11113
636	19448	11083
637	19477	11051
638	19507	11020
639	19537	10989
640	19564	10957
641	19592	10925
642	19621	10894
643	19650	10862
644	19678	10830
645	19707	10799
646	19739	10769
647	19768	10738
648	19797	10706
649	19826	10675
650	19856	10644
651	19884	10613
652	19913	10581
653	19943	10551
654	19971	10519
655	20002	10488
656	20030	10457
657	20058	10425
658	20086	10393
659	20115	10362
660	20148	10333
661	20177	10301
662	20206	10271
663	20236	10240
664	20265	10208
665	20295	10178
666	20325	10147
667	20354	10116
668	20383	10084
669	20412	10053
670	20441	10022
671	20469	9990
672	20497	9959
673	20525	9927
674	20562	9900
675	20590	9868
676	20622	9838
677	20651	9807
678	20678	9775
679	20707	9744
680	20737	9714
681	20767	9683
682	20811	9659
683	20840	9628
684	20869	9596
685	20898	9565
686	20927	9534
687	20956	9503
688	20988	9473
689	21017	9442
690	21045	9411
691	21076	9380
692	21104	9349
693	21134	9318
694	21164	9287
695	21194	9257
696	21225	9227
697	21255	9196
698	21283	9164
699	21311	9133
700	21340	9102
701	21369	9071
702	21400	9041
703	21430	9010
704	21460	8979
705	21488	8948
706	21517	8917
707	21548	8887
708	21580	8857
709	21609	8826
710	21638	8795
711	21666	8764
712	21696	8733
713	21725	8702
714	21754	8671
